Date,US_Avg_Tone,US_Avg_Stability,US_Total_Mentions,US_Event_Count,US_Crisis_Events
20200102,-1.991832143132257,-0.1184210526315789,711,38,7
20200103,-3.735367237649569,0.8394736842105261,615,38,3
20200104,-1.8658411603383795,1.3347826086956522,464,23,2
20200105,-3.7650974082341935,-1.1216417910447762,7572,402,81
20200106,-2.7324652446387008,-0.355174981384959,27449,1343,194
20200107,-3.3022405483676494,0.128006012024048,41998,1996,218
20200108,-3.1997969492837037,-0.2162814070351759,40208,1990,253
20200109,-2.7463329673713965,-0.054627539503386,36773,1772,207
20200110,-3.059085049858836,-0.1574857142857143,36130,1750,220
20200111,-2.7049451766489465,-0.0008729388942773,20330,1031,117
20200112,-2.7726149930474904,-0.3150684931506849,15440,730,112
20200113,-2.4038857924490387,0.3350968703427719,27707,1342,135
20200114,-2.7299989297424148,0.3129661503155478,34382,1743,162
20200115,-2.5702268889726887,0.5440983606557376,38596,1830,147
20200116,-2.696092817027485,0.3064565327910522,39831,1967,165
20200117,-2.8120652648225204,0.0961995249406176,34058,1684,165
20200118,-2.637939473855442,0.1438172043010753,22909,1116,123
20200119,-2.365344418871044,0.4030413625304137,17579,822,82
20200120,-2.790531148327979,-0.3456026058631921,25614,1228,186
20200121,-2.254109943569368,0.5368513119533527,34628,1715,147
20200122,-2.6048085609737552,0.4843846949327818,39079,1934,166
20200123,-2.6657684503756025,0.2433623188405796,35730,1725,166
20200124,-2.9528106561273293,0.123060686015831,39047,1895,182
20200125,-2.8759291502214794,-0.0943396226415094,23204,1113,125
20200126,-2.4721091149792267,0.1909825033647375,14231,743,77
20200127,-2.3207182474977825,0.327365930599369,24304,1268,121
20200128,-2.694580870601208,0.3763723150357996,33363,1676,119
20200129,-2.678794683275069,0.3685517970401691,39046,1892,147
20200130,-2.467939943788611,0.3181665735047513,35081,1789,162
20200131,-2.904855944429676,0.1377076411960133,35956,1806,171
20200201,-2.2675852947714685,0.36199505358615,24030,1213,100
20200202,-2.087817106606328,0.4313583815028901,13199,692,59
20200203,-2.3351157728791336,0.1456244689889549,23201,1177,127
20200204,-2.043460066786046,0.5624925462134764,33899,1677,142
20200205,-2.329964671483727,0.29950884086444,42107,2036,178
20200206,-2.69693976166542,0.4268011527377521,42468,2082,171
20200207,-2.512805301548088,0.4097982708933717,35780,1735,154
20200208,-2.1163373761579694,0.4160104986876641,22685,1143,105
20200209,-2.5157862145818277,0.0544430538172715,16009,799,115
20200210,-2.4398470753652255,0.1606818181818181,26323,1320,156
20200211,-2.35167199143686,0.4605424769703171,39967,1954,169
20200212,-2.435675057861548,0.256002009040683,39572,1991,173
20200213,-2.5170636619810614,0.1616193480546792,40128,1902,173
20200214,-2.2749959644292908,0.5254131054131054,35454,1755,135
20200215,-2.437829962982809,0.3167889908256881,22207,1090,95
20200216,-2.509120379221204,0.1379795396419436,15715,782,83
20200217,-1.8266908202006904,0.7960644007155636,22076,1118,76
20200218,-2.369932503284659,0.6236220472440945,32750,1651,142
20200219,-2.180523010487153,0.5687182382834559,36144,1771,138
20200220,-2.3876361317928567,0.2012127894156559,36409,1814,169
20200221,-2.200107394245219,0.3799886299033541,35635,1759,156
20200222,-2.5985504701725834,0.6990213523131673,22662,1124,74
20200223,-1.5377972703290883,0.55975,16808,800,65
20200224,-2.2110518303806885,0.2996740016299919,25078,1227,124
20200225,-2.8393963698036773,0.0165212332751599,33307,1719,159
20200226,-2.6089950732467235,0.1864041994750655,37264,1905,178
20200227,-2.7423637949634427,0.0031410916580844,39253,1942,216
20200228,-2.3180406234273288,0.2856705450091854,32557,1633,154
20200229,-1.932312375294292,0.9815371762740184,24744,1197,78
20200301,-1.4552093717515266,0.7520149953139643,23134,1067,70
20200302,-2.0714329286293416,0.667671584348942,30998,1559,127
20200303,-1.9012755200065723,0.5406390414378432,42084,2003,137
20200304,-1.8210415427306024,0.6022399203583872,40305,2009,146
20200305,-2.3297154715796173,0.5495730788548467,41750,1991,149
