Date,USD_to_INR,Goldstein_Mean,Goldstein_Median,Goldstein_Sum,Event_Count,Total_Mentions,Avg_Tone
2025-01-02,85.76,0.4082759652798563,1.0,2728.1,6682,35302,-2.321480017719279
2025-01-03,85.77,0.1160896130346232,1.0,798.0,6874,37165,-2.2087625177609094
2025-01-06,85.61,0.0978813559322033,1.0,762.3,7788,41330,-2.26789191648392
2025-01-07,85.74,0.4963217199844579,1.0,3832.1,7721,42137,-1.6808605033483297
2025-01-08,85.89,0.753061224489796,1.9,5166.0,6860,37936,-1.0965517757144798
2025-01-09,85.85,0.4556465038845727,1.0,3284.3,7208,40042,-1.5100252392189892
2025-01-10,86.02,0.5696778371377692,1.0,3518.9,6177,34044,-1.2695914138536135
2025-01-13,86.7,0.8510119785212722,1.9,6180.9,7263,38147,-0.3709624423209666
2025-01-14,86.57,0.5206662553979026,1.9,3376.0,6484,34651,-0.917134067358432
2025-01-15,86.42,0.4804553559182554,1.9,3503.0,7291,39171,-0.9233522858723237
2025-01-16,86.58,0.1974940183855937,1.0,1568.3,7941,42119,-1.478057945404771
2025-01-17,86.62,0.4944935136627104,1.0,3583.1,7246,37788,-1.3274093551125332
2025-01-20,86.54,-0.1233594060718547,0.4,-930.5,7543,40789,-2.4487098913317245
2025-01-21,86.6,0.2463084654039427,1.0,1911.6,7761,41420,-1.6641610735119463
2025-01-22,86.38,0.8213998581224875,1.9,6947.4,8458,43843,-1.3543555667841574
2025-01-23,86.44,0.8102297726717185,1.9,6629.3,8182,41782,-0.8317432195393414
2025-01-24,86.26,0.7223796389167503,1.0,5761.7,7976,40973,-1.3748006279324725
2025-01-27,86.31,0.6371698601760746,1.9,4921.5,7724,40856,-0.9104208547152598
2025-01-28,86.56,0.579838915878292,1.0,4535.5,7822,38616,-1.1318220256279736
2025-01-29,86.56,0.5622942705110753,1.0,4543.9,8081,43046,-1.9653510180961689
2025-01-30,86.61,0.4833510921683537,1.0,3629.0,7508,39089,-1.924904256622348
2025-01-31,86.59,0.5980912615568148,1.0,4010.8,6706,36238,-1.7961542190376736
2025-02-03,87.06,0.4884401521802751,1.0,3338.0,6834,36456,-1.3833656679512984
2025-02-04,87.09,0.7437980834120664,1.9,5510.8,7409,39401,-1.3167400722242262
2025-02-05,87.37,0.653191489361702,1.0,4850.599999999999,7426,38639,-1.4192368831530644
2025-02-06,87.61,0.5505296610169492,1.0,4157.6,7552,39848,-1.9885257984839424
