GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1218434792,20250101,202501,2025,2025.0027,,,,,,,,,,,GOV,CABINET,,,,,,GOV,,,1,40,40,4,1,1.0,2,1,2,2.54237288135593,0,,,,,,,,1,Indonesia,ID,ID,,-5.0,120.0,ID,1,India,IN,IN,,20.0,77.0,IN,20250101150000,https://www.devdiscourse.com/article/business/3212260-india-approves-export-of-non-basmati-rice-to-indonesia
1218445741,20250101,202501,2025,2025.0027,GOV,PRESIDENT,,,,,,GOV,,,LKA,SRI LANKA,LKA,,,,,,,,0,120,120,12,3,-4.0,8,1,8,2.50743731406715,1,India,IN,IN,,20.0,77.0,IN,4,"Bandara, North Western, Sri Lanka",CE,CE32,25838.0,7.526,79.8583,-2213532,1,India,IN,IN,,20.0,77.0,IN,20250101164500,https://www.lankaweb.com/news/items/2025/01/01/%E0%B6%89%E0%B6%B1%E0%B7%8A%E0%B6%AF%E0%B7%92%E0%B6%BA%E0%B7%8F%E0%B6%B1%E0%B7%94-%E0%B6%9C%E0%B7%90%E0%B6%A7-%E0%B7%80%E0%B6%BD%E0%B7%92%E0%B6%B1%E0%B7%8A-%E0%B6%9C%E0%B7%90%E0%B6%BD%E0%B7%80/
1218373580,20250101,202501,2025,2025.0027,GOV,CHIEF MINISTER,,,,,,GOV,,,LKA,SRI LANKAN,LKA,,,,,,,,1,20,20,2,1,3.0,2,1,2,-4.50450450450451,5,"Tamil Nadu, Tamil Nadu, India",IN,IN25,70248,11.0,78.0,-2112557,4,"Colombo, Western, Sri Lanka",CE,CE36,25852.0,6.93194,79.8478,-2214877,5,"Tamil Nadu, Tamil Nadu, India",IN,IN25,70248.0,11.0,78.0,-2112557,20250101010000,https://www.prokerala.com/news/articles/a1594942.html
1218396178,20250101,202501,2025,2025.0027,,,,,,,,,,,BUS,BANK,,,,,,BUS,,,1,31,31,3,1,5.2,8,1,8,-1.42348754448399,0,,,,,,,,1,China,CH,CH,,35.0,105.0,CH,4,"New Delhi, Delhi, India",IN,IN07,17911.0,28.6,77.2,-2106102,20250101070000,https://telecom.economictimes.indiatimes.com/news/devices/us-power-bank-maker-anker-sourcing-lithium-cells-from-india-amidst-us-china-trade-war/116843955
1218396186,20250101,202501,2025,2025.0027,,,,,,,,,,,CHN,CHINA,CHN,,,,,,,,0,61,61,6,2,6.4,4,1,4,-1.42348754448399,0,,,,,,,,1,China,CH,CH,,35.0,105.0,CH,4,"New Delhi, Delhi, India",IN,IN07,17911.0,28.6,77.2,-2106102,20250101070000,https://telecom.economictimes.indiatimes.com/news/devices/us-power-bank-maker-anker-sourcing-lithium-cells-from-india-amidst-us-china-trade-war/116843955
1218433644,20250101,202501,2025,2025.0027,,,,,,,,,,,CHN,CHINA,CHN,,,,,,,,0,61,61,6,2,6.4,1,1,1,3.88059701492537,0,,,,,,,,1,China,CH,CH,,35.0,105.0,CH,4,"Mysuru, Karnataka, India",IN,IN19,17692.0,12.3072,76.6497,-2105255,20250101144500,https://starofmysore.com/boost-to-semiconductor-manufacturing-in-mysuru-silectric-semiconductor-to-invest-rs-3425-crore-at-kochanahalli/
1218441145,20250101,202501,2025,2025.0027,BUS,BUSINESS,,,,,,BUS,,,IRN,IRAN,IRN,,,,,,,,1,61,61,6,2,6.4,2,1,2,-2.62529832935561,1,Sri Lanka,CE,CE,,7.0,81.0,CE,1,Sri Lanka,CE,CE,,7.0,81.0,CE,1,India,IN,IN,,20.0,77.0,IN,20250101161500,https://www.rashtranews.com/business-news-barter-trade-agreement-between-sri-lanka-and-iran-to-hit-indias-tea-exports-to-west-asian-nation/
1218397464,20250101,202501,2025,2025.0027,INDGOVENV,JAIRAM RAMESH,IND,,,,,GOV,ENV,,IND,MANIPUR,IND,,,,,,,,1,111,111,11,3,-2.0,2,1,2,-5.37190082644628,1,India,IN,IN,,20.0,77.0,IN,4,"Kuki, Sagain, Myanmar",BM,BM10,41817.0,25.3667,94.8167,-421275,1,India,IN,IN,,20.0,77.0,IN,20250101071500,https://www.oneindia.com/india/why-pm-modi-cant-visit-manipur-cm-biren-singh-responds-to-congress-questions-4030655.html
1218407274,20250101,202501,2025,2025.0027,IND,MUMBAI,IND,,,,,,,,USA,LAWRENCE,USA,,,,,,,,0,12,12,1,1,-0.4,1,1,1,-4.94396835860251,4,"Mumbai, Maharashtra, India",IN,IN16,70184,18.975,72.8258,-2092174,1,Canada,CA,CA,,60.0,-96.0,CA,4,"Mumbai, Maharashtra, India",IN,IN16,70184.0,18.975,72.8258,-2092174,20250101093000,https://organiser.org/2025/01/01/271648/bharat/pakistan-bangladesh-cybercrimes-bharats-biggest-security-challenges-in-2024/
1218381209,20250101,202501,2025,2025.0027,COP,POLICE,,,,,,COP,,,OPP,PROTESTER,,,,,,OPP,,,0,173,173,17,4,-5.0,2,1,2,-3.93900889453622,4,"Nainital District, Uttaranchal, India",IN,IN39,70288,29.2,79.4167,-2105458,1,Canada,CA,CA,,60.0,-96.0,CA,4,"Nainital District, Uttaranchal, India",IN,IN39,70288.0,29.2,79.4167,-2105458,20250101024500,https://indianexpress.com/article/long-reads/women-fought-for-uttarakhand-we-hope-for-a-safer-place-9754145/
1218383990,20250101,202501,2025,2025.0027,,,,,,,,,,,BUS,BANK,,,,,,BUS,,,1,31,31,3,1,5.2,8,1,8,-1.47058823529412,0,,,,,,,,1,China,CH,CH,,35.0,105.0,CH,1,India,IN,IN,,20.0,77.0,IN,20250101033000,https://economictimes.indiatimes.com/industry/cons-products/electronics/us-power-bank-maker-sourcing-lithium-cells-from-india-amidst-us-china-trade-war/articleshow/116844218.cms
1218384006,20250101,202501,2025,2025.0027,,,,,,,,,,,CHN,CHINA,CHN,,,,,,,,0,61,61,6,2,6.4,4,1,4,-1.47058823529412,0,,,,,,,,1,China,CH,CH,,35.0,105.0,CH,1,India,IN,IN,,20.0,77.0,IN,20250101033000,https://economictimes.indiatimes.com/industry/cons-products/electronics/us-power-bank-maker-sourcing-lithium-cells-from-india-amidst-us-china-trade-war/articleshow/116844218.cms
1218413173,20250101,202501,2025,2025.0027,,,,,,,,,,,CRM,DEALER,,,,,,CRM,,,1,42,42,4,1,1.9,10,1,10,2.30414746543779,0,,,,,,,,1,India,IN,IN,,20.0,77.0,IN,1,India,IN,IN,,20.0,77.0,IN,20250101104500,https://www.thehindubusinessline.com/companies/jsw-mg-motor-achieves-55-rise-in-sales-in-december-on-y-o-y-basis/article69049066.ece
1218410259,20250101,202501,2025,2025.0027,,,,,,,,,,,BUS,COMPANIES,,,,,,BUS,,,1,36,36,3,1,4.0,10,1,10,2.32258064516129,0,,,,,,,,1,India,IN,IN,,20.0,77.0,IN,1,India,IN,IN,,20.0,77.0,IN,20250101094500,https://www.punjabkesari.in/national/news/modi-government-s-big-gift-to-farmers-in-the-new-year-2083161
1218406967,20250101,202501,2025,2025.0027,,,,,,,,,,,MED,TELECOM,,,,,,MED,,,0,111,111,11,3,-2.0,1,1,1,0.39190071848465,0,,,,,,,,1,India,IN,IN,,20.0,77.0,IN,1,India,IN,IN,,20.0,77.0,IN,20250101093000,https://file770.com/tag/apollo-11/
