GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1219353058,20250108,202501,2025,2025.0219,PSEREB,HAMAS,PSE,,,,,REB,,,,,,,,,,,,,1,43,43,4,1,2.8,10,1,10,0.512820512820509,1,United States,US,US,,39.828175,-98.5795,US,0,,,,,,,,1,United States,US,US,,39.828175,-98.5795,US,20250108000000,https://gaceta.es/estados-unidos/trump-anuncia-consecuencias-para-hamas-si-no-libera-a-los-rehenes-antes-de-su-toma-de-posesion-se-desatara-el-infierno-20250108-0011/
1222252524,20250123,202501,2025,2025.063,,,,,,,,,,,GOV,GOVERNMENT,,,,,,GOV,,,0,51,51,5,1,3.4,4,1,4,0.46728971962617,0,,,,,,,,3,"Sioux Falls, South Dakota, United States",US,USSD,,43.55,-96.7003,1267670,3,"Sioux Falls, South Dakota, United States",US,USSD,,43.55,-96.7003,1267670,20250123064500,https://www.yahoo.com/news/lgbtq-community-reacts-trump-executive-040919959.html
1222252525,20250123,202501,2025,2025.063,,,,,,,,,,,GOV,GOVERNMENT,,,,,,GOV,,,0,51,51,5,1,3.4,6,1,6,0.46728971962617,0,,,,,,,,2,"South Dakota, United States",US,USSD,,44.2853,-99.4632,SD,2,"South Dakota, United States",US,USSD,,44.2853,-99.4632,SD,20250123064500,https://www.yahoo.com/news/lgbtq-community-reacts-trump-executive-040919959.html
1222252569,20250123,202501,2025,2025.063,,,,,,,,,,,USA,NASHVILLE,USA,,,,,,,,0,42,42,4,1,1.9,10,1,10,-8.39160839160839,0,,,,,,,,3,"Nashville, Tennessee, United States",US,USTN,TN037,36.1659,-86.7844,1652484,3,"Nashville, Tennessee, United States",US,USTN,TN037,36.1659,-86.7844,1652484,20250123064500,https://townhall.com/tipsheet/mattvespa/2025/01/23/the-media-is-going-to-bury-the-antioch-high-school-shooting-n2650991
1222252914,20250123,202501,2025,2025.063,EDU,SCHOOL,,,,,,EDU,,,TUR,ANTIOCH,TUR,,,,,,,,1,190,190,19,4,-10.0,5,1,5,-8.39160839160839,3,"Nashville, Tennessee, United States",US,USTN,TN037,36.1659,-86.7844,1652484,3,"Nashville, Tennessee, United States",US,USTN,TN037,36.1659,-86.7844,1652484,3,"Nashville, Tennessee, United States",US,USTN,TN037,36.1659,-86.7844,1652484,20250123064500,https://townhall.com/tipsheet/mattvespa/2025/01/23/the-media-is-going-to-bury-the-antioch-high-school-shooting-n2650991
1222252915,20250123,202501,2025,2025.063,EDU,STUDENT,,,,,,EDU,,,TUR,ANTIOCH,TUR,,,,,,,,1,193,193,19,4,-10.0,5,1,5,-8.39160839160839,3,"Nashville, Tennessee, United States",US,USTN,TN037,36.1659,-86.7844,1652484,3,"Nashville, Tennessee, United States",US,USTN,TN037,36.1659,-86.7844,1652484,3,"Nashville, Tennessee, United States",US,USTN,TN037,36.1659,-86.7844,1652484,20250123064500,https://townhall.com/tipsheet/mattvespa/2025/01/23/the-media-is-going-to-bury-the-antioch-high-school-shooting-n2650991
1222253063,20250123,202501,2025,2025.063,GOV,AUTHORITIES,,,,,,GOV,,,EDU,STUDENT,,,,,,EDU,,,0,60,60,6,2,6.0,10,1,10,-8.39160839160839,3,"Nashville, Tennessee, United States",US,USTN,TN037,36.1659,-86.7844,1652484,3,"Nashville, Tennessee, United States",US,USTN,TN037,36.1659,-86.7844,1652484,3,"Nashville, Tennessee, United States",US,USTN,TN037,36.1659,-86.7844,1652484,20250123064500,https://townhall.com/tipsheet/mattvespa/2025/01/23/the-media-is-going-to-bury-the-antioch-high-school-shooting-n2650991
1222253718,20250123,202501,2025,2025.063,USA,UNITED STATES,USA,,,,,,,,COP,POLICE,,,,,,COP,,,1,10,10,1,1,0.0,2,1,2,-8.39160839160839,3,"Nashville, Tennessee, United States",US,USTN,TN037,36.1659,-86.7844,1652484,3,"Nashville, Tennessee, United States",US,USTN,TN037,36.1659,-86.7844,1652484,3,"Nashville, Tennessee, United States",US,USTN,TN037,36.1659,-86.7844,1652484,20250123064500,https://townhall.com/tipsheet/mattvespa/2025/01/23/the-media-is-going-to-bury-the-antioch-high-school-shooting-n2650991
1222253730,20250123,202501,2025,2025.063,USA,NASHVILLE,USA,,,,,,,,EDU,SCHOOL,,,,,,EDU,,,1,10,10,1,1,0.0,8,1,8,-8.39160839160839,3,"Nashville, Tennessee, United States",US,USTN,TN037,36.1659,-86.7844,1652484,3,"Nashville, Tennessee, United States",US,USTN,TN037,36.1659,-86.7844,1652484,3,"Nashville, Tennessee, United States",US,USTN,TN037,36.1659,-86.7844,1652484,20250123064500,https://townhall.com/tipsheet/mattvespa/2025/01/23/the-media-is-going-to-bury-the-antioch-high-school-shooting-n2650991
1222253108,20250123,202501,2025,2025.063,GOV,CITY MANAGER,,,,,,GOV,,,USA,UNITED STATES,USA,,,,,,,,0,10,10,1,1,0.0,2,1,2,-1.72413793103449,3,"Union Grove, Texas, United States",US,USTX,TX459,32.5713,-94.9205,1379192,3,"Union Grove, Texas, United States",US,USTX,,32.5713,-94.9205,1379192,3,"Union Grove, Texas, United States",US,USTX,,32.5713,-94.9205,1379192,20250123064500,https://lufkindailynews.com/news/local/city-supports-union-grove-housing-proposal-slated-for-construction-on-old-union-road/article_ad349506-fcbe-5333-b545-5d33e18646d8.html
