fetch_year,Organic Chemicals,Pharmaceuticals,Apparel,Gems & Jewelry,Machinery,Electronics
2015,2.017895668,5.922402997,2.084112385,9.346810573,2.381563477,1.274358045
2016,2.013501144,7.41878335,2.060785166,10.79547863,2.082742988,1.283185691
2017,2.177233017,6.126635846,2.047683501,10.363833265,2.527631365,1.337434401
2018,2.447333285,6.324317335,2.048823828,11.341602445,3.330915726,1.697124408
2019,2.810764947,7.575589671,2.163827179,10.527806767,3.66414654,2.069868699
2020,2.790876748,8.199143139,1.590575058,8.511651535,3.100746545,2.872603065
2021,3.765800631,8.908288063,2.013159226,15.866062094,4.464385677,3.49081835
2022,4.52454832,8.815806508,2.972427315,15.865746722,6.037843675,5.774331567
2023,3.718477387,10.752256459,2.442521177,12.086884734,6.351103025,11.755002672
2024,3.503082098,12.470845103,2.409338091,11.57978562,6.793914069,14.034172929
