CTY_CODE,CTY_NAME,ALL_VAL_YR,ALL_VAL_MO,YEAR,MONTH,CTY_CODE.1,direction,fetch_year,fetch_month
5330,INDIA,34222774808,3023504178,2019,12,5330,exports,2019,12
5330,INDIA,57878981681,4289524901,2019,12,5330,imports,2019,12
5330,INDIA,27081657766,2780549465,2020,12,5330,exports,2020,12
5330,INDIA,51254588173,4901674890,2020,12,5330,imports,2020,12
5330,INDIA,39817425746,3922649144,2021,12,5330,exports,2021,12
5330,INDIA,73308215745,7059695751,2021,12,5330,imports,2021,12
5330,INDIA,46819202978,3571858603,2022,12,5330,exports,2022,12
5330,INDIA,85517362090,5957463600,2022,12,5330,imports,2022,12
5330,INDIA,40317521829,3202742917,2023,12,5330,exports,2023,12
5330,INDIA,83557090891,6460236863,2023,12,5330,imports,2023,12
